company_name,website,category,description,founder_names,founder_background,source,github_url,product_hunt_url,funding_signal,hiring_signal,community_signal,technical_traction_score,market_timing_score,founder_quality_score,overall_conviction_score,status,last_updated,notes
LangChain,https://www.langchain.com,workflow-orchestration,Framework for building LLM-powered applications and agent workflows with memory and tool integrations,Harrison Chase,Ex-Robust Intelligence ML engineer,web-search,https://github.com/langchain-ai/langchain,,8,8,9,9,9,8,7.3,new,2026-05-17,Dominant open-source framework; Series A funded; massive GitHub traction
Weights & Biases,https://wandb.ai,observability,MLOps platform for experiment tracking model monitoring and AI observability,Lukas Biewald; Chris Van Pelt; Shawn Lewis,Ex-Kaggle/Figure Eight founders,web-search,,,9,8,9,9,8,9,7.3,new,2026-05-17,Series C $135M; widely adopted in enterprise ML teams
Temporal,https://temporal.io,workflow-orchestration,Durable workflow orchestration platform for building reliable distributed applications and AI pipelines,Maxim Fateev; Samar Abbas,Ex-AWS/Uber engineers who built Cadence,web-search,https://github.com/temporalio/temporal,,8,8,8,8,8,9,7.2,new,2026-05-17,Series B $100M; widely used for durable AI workflow execution
LlamaIndex,https://www.llamaindex.ai,memory,Data framework for LLM applications enabling retrieval-augmented generation and agent memory,Jerry Liu; Simon Suo,Ex-Uber/ML researchers,web-search,https://github.com/run-llama/llama_index,,7,7,8,8,9,8,7.1,new,2026-05-17,Strong developer community; $8.5M seed; key player in RAG/memory infrastructure
Letta,https://letta.com,memory,Stateful agent memory and management framework enabling persistent LLM agents with long-term context,Charles Packer; Sarah Wooders,Ex-UC Berkeley researchers (MemGPT creators),web-search,https://github.com/cpacker/MemGPT,,5,6,7,7,9,8,6.8,new,2026-05-17,Formerly MemGPT; seed funded; pioneering stateful agent memory research
Activepieces,https://activepieces.com,automation,Open-source AI-first no-code workflow automation platform with 330+ app integrations.,Mohammad AbuAboud; Ashraf Samhouri,YC batch; engineering founders,search:AI automation infrastructure YC 2024 2025,https://github.com/activepieces/activepieces,,Raised $1.6M total; $1.7M ARR in 2024,Yes,20K GitHub stars; 100K+ active installations,10,7,5,6.6,high priority,2026-05-17,
Vectara,https://vectara.com,memory,Enterprise RAG and semantic search platform providing grounded AI with retrieval-augmented generation,Amr Awadallah; Amin Ahmad,Ex-Cloudera/Yahoo co-founders with deep ML background,web-search,,,7,7,6,7,8,8,6.5,new,2026-05-17,Series A $28M; strong enterprise credibility from experienced founders
Helicone,https://helicone.ai,observability,Proxy-based LLM observability tool requiring only a one-line URL integration change.,Scott Nguyen; Cole Gottdank; Justin Torre,YC W23 batch; engineering backgrounds,search:LLM observability tools startups 2024 2025,https://github.com/Helicone/helicone,,Raised $500K from YC; acquired by Mintlify Mar 2026,No,5.6K GitHub stars; 16K+ organizations; 14.2T tokens processed,8,8,5,6.3,high priority,2026-05-17,
Dify,https://dify.ai,workflow,Open-source platform for building deploying and operating production-grade agentic AI workflows.,Luyu Zhang,Middle-school dropout; Chinese founder scaling in US,search:AI automation infrastructure YC 2024 2025,https://github.com/langgenius/dify,https://www.producthunt.com/products/dify-ai,Raised $30M Series Pre-A at $180M valuation Mar 2026,Yes,Massive GitHub stars; widely adopted globally,10,8,2,6.2,high priority,2026-05-17,
Relevance AI,https://relevanceai.com,agent-tools,No-code AI agent builder platform for building and deploying custom AI agents and automation workflows,Daniel Vassilev; Jacky Koh,Ex-data science consultants from Australia,web-search,,,6,7,6,7,8,7,6.2,new,2026-05-17,Series A funded; strong enterprise traction in agent-building tools
CrewAI,https://crewai.com,agents,Open-source framework for orchestrating role-playing autonomous AI agents.,João Moura; Rob Bailey,Serial entrepreneur; engineering background,search:AI agent infrastructure startups 2024 2025 seed funding,https://github.com/crewAIInc/crewAI,,Raised $18M Series A led by Insight Partners Oct 2024,Yes,150k+ GitHub stars; 150+ enterprise customers,10,9,2,6.1,high priority,2026-05-17,
AgentOps,https://agentops.ai,observability,Developer platform for AI agent testing monitoring and observability with session replay and analytics,Alex Reibman,Ex-enterprise software founder,web-search,https://github.com/AgentOps-AI/agentops,,4,5,6,6,9,6,6.0,new,2026-05-17,YC-backed; purpose-built agent observability gaining traction with agent developers
Braintrust,https://braintrust.dev,observability,AI observability and evaluation platform for building quality production AI products.,Ankur Goyal,Ex-Figma infrastructure engineer; built Impira,search:LLM observability tools startups 2024 2025,https://github.com/brainlid/braintrust,,Raised $36M Series A Oct 2024 from a16z; $80M Series B Feb 2026 at $800M valuation,Yes,Growing rapidly; enterprise customers,10,8,2,5.9,high priority,2026-05-17,
Agno,https://agno.com,agents,Open-source Python framework for building multi-modal AI agents with memory knowledge and tools.,Ashpreet Bedi,Previously built Phidata; data engineering background; YC,search:AI automation infrastructure YC 2024 2025,https://github.com/agno-agi/phidata,,Raised $3M seed from YC,Yes,Active OSS community; rebranded from Phidata in 2025,6,9,5,5.9,high priority,2026-05-17,
Kestra,https://kestra.io,workflow,Open-source event-driven orchestration platform unifying data AI infrastructure and business workflows.,Emmanuel Darras,French engineering founders; enterprise background,search:AI workflow orchestration open source 2024 2025,https://github.com/kestra-io/kestra,,Raised $3M seed 2023; $25M Series A Mar 2026 led by RTP Global; total $36M,Yes,2 billion workflows executed in 2025; 25x enterprise revenue growth,10,8,2,5.8,high priority,2026-05-17,
Superagent,https://superagent.sh,agent-tools,Open-source platform for building and deploying AI agents with memory tools and API integrations,Ismail Pelaseyed,Ex-Spotify engineer and open-source builder,web-search,https://github.com/superagent-ai/superagent,,4,5,6,6,8,6,5.8,new,2026-05-17,Growing open-source community; early-stage; strong developer mindshare in agent tooling
Fixie AI,https://fixie.ai,agent-tools,Platform for building and deploying conversational AI agents with integrated tools memory and APIs,,Ex-Google engineers,web-search,,,6,6,5,6,7,7,5.8,new,2026-05-17,Seed funded by high-profile investors including Google Ventures
Langfuse,https://langfuse.com,observability,Open-source LLM engineering platform for observability evaluations and prompt management.,Maximilian Deichmann; Marc Klingen; Clemens Rawert,YC W23; Berlin-based engineering founders,search:LLM observability tools startups 2024 2025,https://github.com/langfuse/langfuse,,Raised $4M seed from Lightspeed and YC; acquired by ClickHouse 2026,Yes,Strong OSS community; top observability tool,6,8,5,5.7,watching,2026-05-17,
Inngest,https://inngest.com,workflow,Durable event-driven workflow platform for building reliable AI and backend workflows.,Tony Holdstock-Brown; Dan Farrelly,Ex-Docker engineer; ex-Buffer CTO,search:AI workflow orchestration open source 2024 2025,https://github.com/inngest/inngest,,Raised $6.1M led by a16z Jan 2024; $21M Series A Sep 2025,Yes,32K weekly CLI downloads; SoundCloud as customer,6,8,5,5.7,watching,2026-05-17,
Trigger.dev,https://trigger.dev,workflow,Open-source TypeScript platform for building and deploying fully-managed AI agents and workflows.,Matt Aitken; James Ritchie; Eric Allam; Daniel Patel,YC batch; previously built JSON Hero developer tool,search:AI workflow orchestration open source 2024 2025,https://github.com/triggerdotdev/trigger.dev,,Raised $16M Series A Dec 2025 led by Standard Capital,Yes,Executing hundreds of millions of agents; strong OSS,6,8,5,5.7,watching,2026-05-17,
Arize AI,https://arize.com,observability,ML and LLM observability platform with Phoenix open-source tool for AI evaluation and monitoring.,Aparna Dhinakaran; Jason Lopatecki,Ex-TubeMogul founder; ML engineering veterans,search:LLM observability tools startups 2024 2025,https://github.com/Arize-ai/phoenix,,Raised $70M Series C Feb 2025; total $131M,Yes,Strong enterprise customer base; widely adopted Phoenix OSS,6,8,5,5.7,watching,2026-05-17,
Mem0,https://mem0.ai,memory,Persistent memory infrastructure platform enabling personalized long-term memory for AI agents.,Taranjeet Singh; Deshraj Yadav,YC W24; previously built developer tools,search:HN Show HN AI agent memory tools,https://github.com/mem0ai/mem0,,Raised $24M across Seed and Series A; led by Basis Set Ventures Oct 2025,Yes,Strong HN community; widely adopted in OSS,6,7,5,5.5,watching,2026-05-17,
Zep AI,https://getzep.com,memory,Context engineering and agent memory platform storing interactions as a temporal knowledge graph.,Daniel Chalef,YC W24; experienced enterprise software founder,search:HN Show HN AI agent memory tools,https://github.com/getzep/zep,,Raised $500K seed; $1M ARR in 2024,Yes,Active GitHub community; 3 open engineering roles,6,7,5,5.5,watching,2026-05-17,
LangWatch,https://langwatch.ai,observability,Open-source LLMOps platform for monitoring evaluating and optimizing LLM-powered applications.,,,,https://github.com/langwatch/langwatch,,Raised €1M pre-seed Feb 2025 led by Passion Capital,Yes,Growing community; Amsterdam-based,10,8,0,5.3,watching,2026-05-17,
Steamship,https://steamship.com,agent-tools,Cloud platform for hosting and deploying LLM-powered AI agents with persistent memory and storage,Ted Benson; Tom Shelly,Ex-MIT researchers and startup founders,web-search,,,4,4,5,5,7,6,5.2,new,2026-05-17,Early-stage agent hosting platform; seed funded
Mastra,https://mastra.ai,agents,Open-source TypeScript and JavaScript framework for building and deploying AI agents and pipelines.,Sam Bhagwat; Dustin Schau,Team behind Gatsby framework; serial OSS builders,search:AI workflow orchestration open source 2024 2025,https://github.com/mastra-ai/mastra,,Raised $13M seed Oct 2025; $22M Series A Apr 2026; total $35M,Yes,Millions of monthly downloads; used by PayPal Adobe Replit,6,9,2,5.0,watching,2026-05-17,
Traceloop,https://traceloop.com,observability,OpenTelemetry-based LLM observability platform making AI agents production-ready.,Nir Gazit,ML and enterprise software veterans,search:LLM observability tools startups 2024 2025,https://github.com/traceloop/openllmetry,,Raised $6.1M seed funding,Yes,Active OSS community; OpenLLMetry widely adopted,6,8,2,4.8,watching,2026-05-17,
Orkes,https://orkes.io,workflow,Enterprise AI and workflow orchestration platform built on open-source Netflix Conductor.,Jeu George; Viren Baraiya; Dilip Lukose; Boney Sekh,Built Netflix Conductor; Netflix engineering alumni,search:AI workflow orchestration open source 2024 2025,https://github.com/conductor-oss/conductor,,Raised $20M Series A Feb 2024; $60M Series B Apr 2026; total ~$90M,Yes,Strong enterprise adoption; Netflix pedigree,6,8,2,4.8,watching,2026-05-17,
Prefect,https://prefect.io,workflow,Open-source workflow orchestration platform with cloud-hosted backend for AI and data pipelines.,Jeremiah Lowin,Ex-data engineering backgrounds,search:AI workflow orchestration open source 2024 2025,https://github.com/PrefectHQ/prefect,,Significant funding raised; established startup,Yes,Large OSS community; wide enterprise adoption,6,8,2,4.8,watching,2026-05-17,
Portkey,https://portkey.ai,observability,AI gateway and control plane for governance observability and reliability of production AI systems.,Rohit Agarwal; Ayush Garg,Technical founders; Nasscom GenAI Foundry alumni,search:LLM observability tools startups 2024 2025,https://github.com/portkey-ai/gateway,,Raised $15M Series A Feb 2026 led by Elevation Capital; acquired by Palo Alto Networks Apr 2026,No,500B+ LLM tokens processed daily; strong enterprise traction,4,8,2,4.3,new,2026-05-17,
